0	1	Que ciudad de Texas tiene el apodo de "La Rosa Amarilla de Texas"?	Amarillo
1	1	Groenlandia es casi tan grande como Africa.	Falso
2	1	Cuantos paises hay dentro del Reino Unido?	Cuatro
3	1	Cuantos paises bordean Kirguistan?	Cuatro
4	1	Con cuantos paises comparte Estados Unidos una frontera terrestre?	dos
5	1	Cuantos estados federales tiene Alemania?	16
6	1	Cuantos paises independientes hay dentro del continente de America del Sur?	Doce
7	1	Japon tiene el trafico por el lado izquierdo.	Verdadero
8	1	Miami es la ciudad mas grande de Florida.	Falso
9	1	New Haven es la capital del estado de Connecticut en los Estados Unidos.	Falso
10	1	En que continente se encuentra la cordillera de los Andes?	America del Sur
11	1	El territorio moderno de Portugal fue una vez parte del Imperio Romano.	Verdadero
12	1	Rusia comparte una frontera terrestre con Corea del Norte.	Verdadero
13	1	El Principado de Sealand es una micronacion no reconocida frente a la costa de que pais?	El Reino Unido
14	1	El desierto de Sonora se encuentra en el este de Africa.	Falso
15	1	En que pais se encuentran los Acantilados Blancos de Dover?	Reino Unido
16	1	La sede de la Organizacion Mundial de la Salud se encuentra en que pais europeo?	Suiza
17	1	La capital de Brasil es Rio de Janeiro.	Falso
18	1	La capital de Indonesia es Bali.	Falso
19	1	El montanoso paso de Jiber conecta cual de los dos siguientes paises?	Afganistan y Pakistan
20	1	Existe una isla llamada "Java".	Verdadero
21	1	Hay 47 prefecturas en Japon.	Verdadero
22	1	Tokio es la capital de Japon.	Verdadero
23	1	Hasta 1939, Laos se llamaba Siam.	Falso
24	1	En que ciudad se encuentra el Ejercito de Terracota?	Xi'an
25	1	Que pais no es parte de Escandinavia?	Finlandia
26	1	Que evento llevo a Liechtenstein a anadir una corona a su bandera?	Los Juegos Olimpicos de 1936
27	1	Cual es la isla mas grande de Canada?	Isla de Baffin
28	1	Cual es la 15a letra del alfabeto griego?	Omicron ()
29	1	Cual es la capital de los Estados Unidos?	Washington, D.C.
30	1	Cual es la palabra finlandesa para "Finlandia"?	Finlandia
31	1	Cual es la capital de Bermudas?	Hamilton
32	1	Cual es la capital de Bangladesh?	Daca
33	1	Cual es la capital de Brasil?	Brasilia
34	1	Cual es la capital de Chile?	Santiago
35	1	Cual es la capital de Chipre?	Nicosia
36	1	Cual es la capital de India?	Nueva Delhi
37	1	Cual es la capital de Rumania?	Bucarest
38	1	Cual es la capital de Escocia?	Edimburgo
39	1	Cual es la capital de Seychelles?	Victoria
40	1	Cual es la capital de Surinam?	Paramaribo
41	1	Cual es la capital del estado estadounidense de Arizona?	Fenix
42	1	Cual es el pais musulman mas grande del mundo?	Indonesia
43	1	Cual es el pais mas grande del mundo?	Federacion Rusa
44	1	Cual es el pais mas grande del mundo?	Rusia
45	1	Cual es el rio mas largo de Europa?	Volga
46	1	Cual es el nombre de la peninsula que contiene a Espana y Portugal?	Peninsula Iberica
47	1	Cual es el idioma oficial en Liechtenstein?	Aleman
48	1	Cual es el idioma oficial de Costa Rica?	Espanol
49	1	Cual es el unico estado de los Estados Unidos que no tiene una bandera en forma con 4 bordes?	Ohio
50	1	Cual es el pais mas pequeno del mundo?	Ciudad del Vaticano
51	1	Cual es la montana mas alta de Canada?	Monte Logan
52	1	Cual era el nombre anterior de la nacion africana de Zimbabue?	Rodesia
53	1	Donde esta ubicado Fort Marlborough?	Bengkulu
54	1	Donde esta ubicada la Muralla de Adriano?	Carlisle, Inglaterra
55	1	Donde esta el rio Volga?	Rusia
56	1	Donde se encuentra la ciudad antigua de Petra?	Jordania
57	1	Donde esta ubicada la ciudad de Haarlem?	Paises Bajos
58	1	Cual es el barrio mas al norte de la Ciudad de Nueva York?	Bronx
59	1	Que provincia canadiense tiene a Charlottetown como su capital?	Isla del Principe Eduardo
60	1	En que condado ingles encontraras la Universidad de East Anglia?	Norfolk
61	1	Que nacion oceaniana es conocida en maori como Aotearoa?	Nueva Zelanda
62	1	Que pais del Reino Unido presenta un dragon en su bandera?	Gales
63	1	Que pais reclama la propiedad del estado disputado de Kosovo?	Serbia
64	1	Que pais tiene la abreviatura "CH"?	Suiza
65	1	Cual es el unico estado estadounidense ubicado completamente en la region de Apalaches?	Virginia Occidental
66	1	Cual es el pais mas pequeno del mundo?	Ciudad del Vaticano
67	1	Que estrecho de agua conecta el oceano Atlantico con el mar Mediterraneo?	Estrecho de Gibraltar
68	2	"Cube", "Cube 2: Hipercubo" y "Cube Zero" fueron dirigidas por la misma persona.	Falso
69	2	"Make You Feel My Love" fue escrito y interpretado originalmente por cual cantautor?	Bob Dylan
70	2	La primera regla es: no hables de ello", es una referencia a que pelicula?	El club de la lucha
71	2	'74-'75 es un sencillo de 1993 del album Ring de que banda estadounidense?	Los Connells
72	2	Segun la tradicion de Star Wars, cual es el planeta natal de Han Solo?	Corellia
73	2	Eurobeat es principalmente un genero musical italiano.	Verdadero
74	2	En "Jurassic World", cual es el nombre del dinosaurio que es un hibrido genetico?	Indominus Rex
75	2	En "Jurassic World", que empresa compra InGen y crea Jurassic World?	Corporacion Masrani Global
76	2	En "Rick and Morty", quien disparo a "Sr. Poopybutthole" en el episodio "Total Rickall"?	Beth
